cat_id,name,date_of_birth,color,country,gender,breed,price,image_url
16,Sasha,2023-03-11,black,GERMANY,MALE,Abyssinian,1976,https://robohash.org/Sasha_cat16?set=4&size=150x150
17,Pumpkin,2022-08-11,smoke,GERMANY,FEMALE,Persian,2293,https://robohash.org/Pumpkin_cat17?set=4&size=150x150
18,Ginger,2018-05-16,tabby,GERMANY,MALE,Bengal,4189,https://robohash.org/Ginger_cat18?set=4&size=150x150
19,Snowy,2020-03-21,black,GERMANY,MALE,ScottishFold,2120,https://robohash.org/Snowy_cat19?set=4&size=150x150
20,Salem,2022-03-06,tabby,GERMANY,FEMALE,Abyssinian,4880,https://robohash.org/Salem_cat20?set=4&size=150x150
21,Coco,2020-03-28,black,CANADA,FEMALE,Ragdoll,844,https://robohash.org/Coco_cat21?set=4&size=150x150
22,Mittens,2022-03-28,smoke,USA,MALE,Persian,1410,https://robohash.org/Mittens_cat22?set=4&size=150x150
23,Whiskers,2022-06-11,tabby,USA,FEMALE,BritishShorthair,3226,https://robohash.org/Whiskers_cat23?set=4&size=150x150
24,Toby,2021-05-05,tabby,GERMANY,MALE,ScottishFold,1038,https://robohash.org/Toby_cat24?set=4&size=150x150
25,Daisy,2021-10-28,smoke,GERMANY,FEMALE,Abyssinian,1013,https://robohash.org/Daisy_cat25?set=4&size=150x150
26,Mocha,2019-08-25,black,ITALY,MALE,BritishShorthair,2257,https://robohash.org/Mocha_cat26?set=4&size=150x150
27,Felix,2023-06-14,smoke,CANADA,MALE,Abyssinian,2544,https://robohash.org/Felix_cat27?set=4&size=150x150
28,Smokey,2022-09-20,tabby,CANADA,MALE,Abyssinian,3163,https://robohash.org/Smokey_cat28?set=4&size=150x150
29,Lily,2022-04-11,tabby,MEXICO,MALE,MaineCoon,2755,https://robohash.org/Lily_cat29?set=4&size=150x150
30,Shadow,2020-09-27,cream,GERMANY,FEMALE,Persian,2061,https://robohash.org/Shadow_cat30?set=4&size=150x150
31,Ruby,2018-04-29,tabby,USA,MALE,Bengal,4081,https://robohash.org/Ruby_cat31?set=4&size=150x150
32,Pearl,2022-07-30,smoke,MEXICO,MALE,Siamese,1151,https://robohash.org/Pearl_cat32?set=4&size=150x150
33,Sunny,2021-09-13,tabby,CANADA,FEMALE,ScottishFold,4422,https://robohash.org/Sunny_cat33?set=4&size=150x150
34,Jasper,2022-11-22,brown,CANADA,MALE,RussianBlue,2653,https://robohash.org/Jasper_cat34?set=4&size=150x150
35,Poppy,2020-03-28,brown,MEXICO,FEMALE,Ragdoll,1091,https://robohash.org/Poppy_cat35?set=4&size=150x150
36,Charlie,2019-05-23,cream,GERMANY,MALE,Bengal,4919,https://robohash.org/Charlie_cat36?set=4&size=150x150
37,Pepper,2021-02-08,tabby,CANADA,MALE,Bengal,681,https://robohash.org/Pepper_cat37?set=4&size=150x150
38,Mango,2021-12-20,black,USA,MALE,Persian,2806,https://robohash.org/Mango_cat38?set=4&size=150x150
39,Marble,2018-05-26,black,GERMANY,FEMALE,Abyssinian,1855,https://robohash.org/Marble_cat39?set=4&size=150x150
40,Ash,2021-01-09,silver,MEXICO,FEMALE,MaineCoon,2090,https://robohash.org/Ash_cat40?set=4&size=150x150
41,Echo,2022-05-26,smoke,ITALY,MALE,ScottishFold,872,https://robohash.org/Echo_cat41?set=4&size=150x150
42,Storm,2018-07-18,white,ITALY,FEMALE,BritishShorthair,3925,https://robohash.org/Storm_cat42?set=4&size=150x150
43,Ivy,2022-11-05,silver,USA,MALE,Persian,3398,https://robohash.org/Ivy_cat43?set=4&size=150x150
44,Onyx,2022-01-31,smoke,USA,MALE,Ragdoll,1669,https://robohash.org/Onyx_cat44?set=4&size=150x150
45,Angel,2019-01-25,brown,CANADA,FEMALE,Abyssinian,1603,https://robohash.org/Angel_cat45?set=4&size=150x150
46,Tiger,2019-07-25,black,USA,FEMALE,ScottishFold,4608,https://robohash.org/Tiger_cat46?set=4&size=150x150
47,Panda,2018-07-20,silver,MEXICO,MALE,Persian,864,https://robohash.org/Panda_cat47?set=4&size=150x150
48,Hazel,2023-03-13,black,ITALY,FEMALE,Bengal,4043,https://robohash.org/Hazel_cat48?set=4&size=150x150
49,Cupcake,2019-03-14,cream,CANADA,FEMALE,BritishShorthair,117,https://robohash.org/Cupcake_cat49?set=4&size=150x150
50,Midnight,2020-03-10,smoke,ITALY,FEMALE,Sphynx,3565,https://robohash.org/Midnight_cat50?set=4&size=150x150
51,Pearl2,2021-11-27,silver,ITALY,MALE,Abyssinian,1655,https://robohash.org/Pearl2_cat51?set=4&size=150x150
52,Zelda,2019-08-31,cream,MEXICO,MALE,Bengal,2669,https://robohash.org/Zelda_cat52?set=4&size=150x150
53,Simone,2018-04-28,tabby,ITALY,MALE,Persian,565,https://robohash.org/Simone_cat53?set=4&size=150x150
54,Cinder,2023-05-22,cream,CANADA,MALE,Abyssinian,4974,https://robohash.org/Cinder_cat54?set=4&size=150x150
55,Dusty,2018-05-20,brown,USA,MALE,Bengal,4842,https://robohash.org/Dusty_cat55?set=4&size=150x150
56,Fluffy,2021-05-02,tabby,USA,FEMALE,Persian,4881,https://robohash.org/Fluffy_cat56?set=4&size=150x150
57,Momo,2021-03-03,white,GERMANY,MALE,Abyssinian,2673,https://robohash.org/Momo_cat57?set=4&size=150x150
58,Zeus,2019-05-04,brown,CANADA,FEMALE,Sphynx,3845,https://robohash.org/Zeus_cat58?set=4&size=150x150
59,Thor,2019-10-10,cream,ITALY,MALE,Siamese,700,https://robohash.org/Thor_cat59?set=4&size=150x150
60,Athena,2021-01-06,tabby,GERMANY,MALE,Bengal,2959,https://robohash.org/Athena_cat60?set=4&size=150x150
61,Biscuit,2020-06-15,cream,USA,MALE,Birman,3200,https://robohash.org/Biscuit_cat61?set=4&size=150x150
62,Willow,2021-04-22,silver,CANADA,FEMALE,NorwegianForest,2875,https://robohash.org/Willow_cat62?set=4&size=150x150
63,Pixie,2022-01-10,brown,GERMANY,FEMALE,DevonRex,1540,https://robohash.org/Pixie_cat63?set=4&size=150x150
64,Bruno,2019-12-05,tabby,ITALY,MALE,Burmese,3680,https://robohash.org/Bruno_cat64?set=4&size=150x150
65,Maple,2023-01-18,cream,CANADA,FEMALE,Tonkinese,2910,https://robohash.org/Maple_cat65?set=4&size=150x150
66,Oreo,2020-08-30,black,USA,MALE,BritishShorthair,1875,https://robohash.org/Oreo_cat66?set=4&size=150x150
67,Toffee,2021-07-14,brown,MEXICO,FEMALE,Birman,2450,https://robohash.org/Toffee_cat67?set=4&size=150x150
68,Nimbus,2022-06-28,white,GERMANY,MALE,NorwegianForest,3120,https://robohash.org/Nimbus_cat68?set=4&size=150x150
69,Sage,2019-11-03,silver,ITALY,FEMALE,DevonRex,1980,https://robohash.org/Sage_cat69?set=4&size=150x150
70,Mochi,2023-04-09,cream,USA,FEMALE,Burmese,4100,https://robohash.org/Mochi_cat70?set=4&size=150x150
71,Patches,2020-01-22,tabby,CANADA,MALE,Tonkinese,1650,https://robohash.org/Patches_cat71?set=4&size=150x150
72,Cosmo,2021-09-08,smoke,MEXICO,MALE,Birman,2780,https://robohash.org/Cosmo_cat72?set=4&size=150x150
73,Nutmeg,2022-12-01,brown,GERMANY,FEMALE,NorwegianForest,3450,https://robohash.org/Nutmeg_cat73?set=4&size=150x150
74,Ziggy,2018-09-14,black,USA,MALE,DevonRex,2200,https://robohash.org/Ziggy_cat74?set=4&size=150x150
75,Clover,2020-11-19,cream,ITALY,FEMALE,Burmese,3890,https://robohash.org/Clover_cat75?set=4&size=150x150
76,Waffle,2023-02-25,tabby,CANADA,MALE,Tonkinese,1420,https://robohash.org/Waffle_cat76?set=4&size=150x150
77,Basil,2021-06-30,silver,MEXICO,FEMALE,Birman,3550,https://robohash.org/Basil_cat77?set=4&size=150x150
78,Finn,2019-04-17,white,GERMANY,MALE,NorwegianForest,2640,https://robohash.org/Finn_cat78?set=4&size=150x150
79,Rosie,2022-08-05,cream,USA,FEMALE,DevonRex,1750,https://robohash.org/Rosie_cat79?set=4&size=150x150
80,Jasmine,2020-12-12,smoke,ITALY,FEMALE,Burmese,4250,https://robohash.org/Jasmine_cat80?set=4&size=150x150
