cat_id,name,date_of_birth,color,country,gender,breed,price
50,Midnight,2020-03-10,smoke,ITALY,FEMALE,Sphynx,3565
51,Pearl2,2021-11-27,silver,ITALY,MALE,Abyssinian,1655
52,Zelda,2019-08-31,cream,MEXICO,MALE,Bengal,2669
53,Simone,2018-04-28,tabby,ITALY,MALE,Persian,565
54,Cinder,2023-05-22,cream,CANADA,MALE,Abyssinian,4974
55,Dusty,2018-05-20,brown,USA,MALE,Bengal,4842
56,Fluffy,2021-05-02,tabby,USA,FEMALE,Persian,4881
57,Momo,2021-03-03,white,GERMANY,MALE,Abyssinian,2673
58,Zeus,2019-05-04,brown,CANADA,FEMALE,Sphynx,3845
59,Thor,2019-10-10,cream,ITALY,MALE,Siamese,700
60,Athena,2021-01-06,tabby,GERMANY,MALE,Bengal,2959
61,Biscuit,2020-06-15,cream,USA,MALE,Birman,3200
62,Willow,2021-04-22,silver,CANADA,FEMALE,NorwegianForest,2875
63,Pixie,2022-01-10,brown,GERMANY,FEMALE,DevonRex,1540
64,Bruno,2019-12-05,tabby,ITALY,MALE,Burmese,3680
65,Maple,2023-01-18,cream,CANADA,FEMALE,Tonkinese,2910
66,Oreo,2020-08-30,black,USA,MALE,BritishShorthair,1875
67,Toffee,2021-07-14,brown,MEXICO,FEMALE,Birman,2450
68,Nimbus,2022-06-28,white,GERMANY,MALE,NorwegianForest,3120
69,Sage,2019-11-03,silver,ITALY,FEMALE,DevonRex,1980
70,Mochi,2023-04-09,cream,USA,FEMALE,Burmese,4100
71,Patches,2020-01-22,tabby,CANADA,MALE,Tonkinese,1650
72,Cosmo,2021-09-08,smoke,MEXICO,MALE,Birman,2780
73,Nutmeg,2022-12-01,brown,GERMANY,FEMALE,NorwegianForest,3450
74,Ziggy,2018-09-14,black,USA,MALE,DevonRex,2200
75,Clover,2020-11-19,cream,ITALY,FEMALE,Burmese,3890
76,Waffle,2023-02-25,tabby,CANADA,MALE,Tonkinese,1420
77,Basil,2021-06-30,silver,MEXICO,FEMALE,Birman,3550
78,Finn,2019-04-17,white,GERMANY,MALE,NorwegianForest,2640
79,Rosie,2022-08-05,cream,USA,FEMALE,DevonRex,1750
80,Jasmine,2020-12-12,smoke,ITALY,FEMALE,Burmese,4250
