shipping_id,order_id,carrier,ship_date,delivery_date,shipping_cost
56,75,UPS,2024-06-18,2024-06-25,12.59
57,76,FedEx,2024-03-09,2024-03-11,13.95
58,78,UPS,2024-10-21,2024-10-24,16.61
59,79,FedEx,2024-06-05,2024-06-09,16.77
60,82,USPS,2025-01-14,2025-01-21,17.49
61,85,DHL,2024-12-12,2024-12-16,13.63
62,86,UPS,2024-03-18,2024-03-22,18.21
63,89,DHL,2024-09-13,2024-09-15,4.14
64,91,USPS,2025-02-05,2025-02-12,16.46
65,92,USPS,2024-08-27,2024-09-03,6.26
66,93,FedEx,2024-08-23,2024-08-27,17.44
67,94,USPS,2024-10-15,,17.77
68,100,USPS,2024-05-21,2024-05-24,14.85
69,101,UPS,2024-05-01,2024-05-07,12.48
70,102,USPS,2024-02-14,2024-02-17,19.14
71,103,DHL,2024-12-23,2024-12-27,23.04
72,104,DHL,2024-08-02,2024-08-09,4.73
73,105,UPS,2024-08-02,2024-08-09,18.97
74,107,DHL,2025-01-29,,11.52
75,108,USPS,2024-06-30,2024-07-07,22.4
76,110,UPS,2024-04-24,2024-04-26,13.88
77,111,USPS,2024-09-08,2024-09-14,20.01
78,112,UPS,2025-01-08,2025-01-12,17.73
79,113,UPS,2024-11-16,,8.68
80,114,USPS,2024-11-01,,20.54
81,115,USPS,2024-11-27,2024-12-01,16.29
82,116,DHL,2024-04-04,2024-04-09,5.12
83,117,FedEx,2024-04-20,2024-04-23,14.5
84,120,DHL,2025-01-21,,10.26
85,122,FedEx,2025-01-22,2025-01-25,24.83
86,123,USPS,2024-01-13,,24.72
87,126,DHL,2024-03-27,,10.63
88,128,UPS,2024-02-26,,14.23
89,134,UPS,2024-06-28,,17.31
90,135,FedEx,2024-02-07,,9.73
91,138,UPS,2024-12-31,2025-01-03,14.27
92,139,FedEx,2024-11-30,2024-12-06,13.1
93,140,DHL,2025-02-02,2025-02-07,24.26
94,141,DHL,2024-05-18,2024-05-20,15.2
95,142,USPS,2024-05-23,2024-05-27,19.88
96,143,UPS,2024-10-19,,18.2
97,144,UPS,2024-01-16,2024-01-23,22.41
98,145,USPS,2024-09-07,2024-09-09,12.04
99,146,USPS,2024-06-24,2024-06-26,21.29
100,147,USPS,2024-10-13,2024-10-18,19.27
101,148,USPS,2024-02-15,2024-02-22,24.89
102,151,USPS,2024-02-19,2024-02-23,19.74
103,153,UPS,2024-10-12,,4.39
104,154,UPS,2024-06-21,2024-06-24,8.42
105,155,FedEx,2024-06-08,2024-06-14,7.54
106,156,USPS,2024-06-13,2024-06-20,20.62
107,157,DHL,2024-04-11,2024-04-15,20.19
108,158,FedEx,2025-01-08,,24.88
109,159,FedEx,2024-11-04,2024-11-06,5.0
110,160,FedEx,2024-06-02,2024-06-07,11.98
111,162,USPS,2024-01-26,2024-02-02,7.21
112,164,FedEx,2024-01-09,,12.83
113,165,FedEx,2024-08-16,2024-08-22,9.66
114,167,UPS,2024-07-26,2024-07-28,14.73
115,168,FedEx,2024-03-20,2024-03-22,20.47
116,169,DHL,2024-02-14,2024-02-20,8.18
117,170,USPS,2024-11-09,,24.43
118,171,USPS,2025-02-04,,12.59
119,173,UPS,2024-06-06,,15.5
120,174,UPS,2025-01-16,2025-01-21,10.93
121,175,FedEx,2024-11-17,2024-11-24,5.86
122,176,FedEx,2024-03-24,2024-03-31,14.37
123,177,FedEx,2024-03-24,2024-03-26,19.18
124,178,FedEx,2024-08-30,2024-09-06,8.84
125,179,USPS,2024-12-29,2025-01-03,5.04
126,181,UPS,2024-11-17,,21.89
127,182,USPS,2024-08-08,2024-08-12,12.94
128,185,FedEx,2024-05-28,2024-05-30,4.19
129,186,UPS,2024-12-27,2025-01-03,7.57
130,187,USPS,2024-10-05,2024-10-11,9.62
131,188,FedEx,2024-01-23,2024-01-27,7.83
132,189,DHL,2024-05-10,2024-05-15,9.7
133,190,DHL,2024-10-30,2024-11-04,20.79
134,191,UPS,2024-10-23,2024-10-26,18.61
135,192,FedEx,2024-08-29,,6.17
136,193,DHL,2024-04-05,,18.24
137,194,UPS,2024-02-19,2024-02-24,20.35
138,196,FedEx,2024-06-20,2024-06-27,24.43
139,197,UPS,2024-12-07,2024-12-12,6.36
140,198,DHL,2024-01-21,2024-01-23,5.32
141,199,USPS,2024-06-15,2024-06-22,22.22
