item_id,order_id,product_id,quantity,unit_price
111,33,59,2,78.88
112,34,3,2,115.49
113,34,7,1,19.75
114,34,43,2,104.27
115,34,32,2,60.12
116,34,17,2,143.8
117,35,19,2,19.02
118,35,1,2,321.52
119,35,36,3,106.76
120,36,15,2,106.23
121,36,4,1,55.74
122,37,31,2,38.75
123,37,42,3,104.78
124,37,3,1,115.49
125,38,54,1,113.02
126,38,15,4,106.23
127,39,47,1,43.82
128,39,14,3,115.03
129,39,58,4,149.61
130,39,29,1,38.05
131,40,62,4,28.2
132,41,14,1,115.03
133,41,63,3,66.21
134,41,57,2,62.91
135,41,10,1,108.82
136,42,36,4,106.76
137,42,42,3,104.78
138,43,56,4,67.12
139,43,13,4,122.37
140,43,15,2,106.23
141,43,28,4,15.09
142,44,59,1,78.88
143,44,52,3,98.21
144,44,54,4,113.02
145,45,33,4,97.17
146,45,48,1,137.4
147,45,20,1,54.87
148,46,12,4,70.14
149,47,48,2,137.4
150,48,8,4,120.17
151,48,43,1,104.27
152,48,16,3,45.29
153,48,53,3,43.41
154,48,46,3,121.73
155,49,28,2,15.09
156,50,29,1,38.05
157,50,14,3,115.03
158,50,45,2,38.21
159,50,48,4,137.4
160,51,4,3,55.74
161,51,35,1,35.38
162,51,24,2,16.43
163,51,40,2,72.03
164,51,44,4,116.41
165,52,19,1,19.02
166,53,28,4,15.09
167,54,59,3,78.88
168,54,44,3,116.41
169,54,21,1,122.03
170,54,48,1,137.4
171,55,21,1,122.03
172,55,7,3,19.75
173,56,55,3,43.1
174,56,63,2,66.21
175,56,57,1,62.91
176,56,54,3,113.02
177,57,15,1,106.23
178,57,37,2,98.97
179,57,63,4,66.21
180,57,40,1,72.03
181,58,27,3,88.72
182,59,18,3,19.82
183,59,33,3,97.17
184,60,1,4,321.52
185,61,23,3,146.1
186,61,17,1,143.8
187,61,49,4,132.07
188,61,30,1,147.86
189,62,3,4,115.49
190,62,59,4,78.88
191,62,10,4,108.82
192,62,41,3,148.48
193,63,52,1,98.21
194,64,22,1,71.62
195,64,59,4,78.88
196,64,47,1,43.82
197,65,56,1,67.12
198,65,52,4,98.21
199,66,44,2,116.41
200,66,29,1,38.05
201,66,43,1,104.27
202,67,25,2,125.26
203,67,45,3,38.21
204,67,19,2,19.02
205,67,31,2,38.75
206,67,14,2,115.03
207,68,23,4,146.1
208,69,58,4,149.61
209,69,42,1,104.78
210,69,41,4,148.48
211,69,20,4,54.87
212,70,36,1,106.76
213,70,8,3,120.17
214,70,46,4,121.73
215,71,5,1,446.63
216,71,8,1,120.17
217,71,48,4,137.4
218,71,37,4,98.97
219,72,6,2,297.29
220,72,58,1,149.61
221,72,25,4,125.26
222,72,42,1,104.78
223,72,61,3,20.9
224,73,23,1,146.1
225,74,57,3,62.91
226,74,21,3,122.03
227,75,50,1,35.83
228,75,53,3,43.41
229,75,44,1,116.41
230,76,13,3,122.37
231,76,50,2,35.83
232,76,37,3,98.97
233,77,19,3,19.02
234,78,51,3,62.37
235,78,17,4,143.8
236,78,11,3,84.02
237,79,12,3,70.14
238,79,55,1,43.1
239,80,40,3,72.03
240,80,24,4,16.43
241,80,28,2,15.09
242,81,18,1,19.82
243,81,20,3,54.87
244,82,5,3,446.63
245,83,17,2,143.8
246,83,49,4,132.07
247,83,20,1,54.87
248,83,21,4,122.03
249,83,24,3,16.43
250,84,57,4,62.91
251,84,37,2,98.97
252,85,31,4,38.75
253,85,40,4,72.03
254,85,61,3,20.9
255,85,25,4,125.26
256,85,48,4,137.4
257,86,26,3,133.39
258,86,18,1,19.82
259,87,48,1,137.4
260,87,14,2,115.03
261,87,16,3,45.29
262,87,37,4,98.97
263,88,19,3,19.02
264,88,56,1,67.12
265,88,12,4,70.14
266,88,29,1,38.05
267,88,58,4,149.61
268,89,48,1,137.4
269,89,31,3,38.75
270,89,50,1,35.83
271,89,11,3,84.02
272,89,29,2,38.05
273,90,5,4,446.63
274,90,37,2,98.97
275,91,58,3,149.61
276,91,1,2,321.52
277,91,11,2,84.02
278,91,3,4,115.49
279,92,37,2,98.97
280,93,16,4,45.29
281,93,7,4,19.75
282,93,31,1,38.75
283,94,64,1,60.79
284,95,31,3,38.75
285,95,19,2,19.02
286,95,38,4,97.07
287,95,55,2,43.1
288,95,1,1,321.52
289,96,47,1,43.82
290,96,9,4,8.85
291,96,3,3,115.49
292,96,50,3,35.83
293,96,61,1,20.9
294,97,9,1,8.85
295,97,45,3,38.21
296,97,31,2,38.75
297,98,46,3,121.73
298,99,60,2,114.59
299,99,62,2,28.2
300,100,59,1,78.88
301,101,26,3,133.39
302,101,6,4,297.29
303,101,41,4,148.48
304,102,5,3,446.63
305,102,25,1,125.26
306,102,37,3,98.97
307,103,16,4,45.29
308,103,48,4,137.4
309,103,56,4,67.12
310,104,24,3,16.43
311,104,64,1,60.79
312,104,48,4,137.4
313,105,56,2,67.12
314,106,38,4,97.07
315,106,42,4,104.78
316,106,14,2,115.03
317,106,11,4,84.02
318,106,40,3,72.03
319,107,6,1,297.29
320,107,46,1,121.73
321,107,56,4,67.12
322,107,36,3,106.76
323,108,21,2,122.03
324,108,4,1,55.74
325,108,19,2,19.02
326,108,57,3,62.91
327,108,5,3,446.63
328,109,5,3,446.63
329,109,20,4,54.87
330,109,58,1,149.61
331,109,48,2,137.4
332,110,47,1,43.82
333,110,51,1,62.37
334,110,41,2,148.48
335,110,36,4,106.76
336,110,32,4,60.12
337,111,16,4,45.29
338,111,34,2,28.58
339,111,58,1,149.61
340,111,28,2,15.09
341,111,37,1,98.97
342,112,23,3,146.1
343,112,57,1,62.91
344,112,12,3,70.14
345,112,41,3,148.48
346,113,23,2,146.1
347,113,47,1,43.82
348,114,18,4,19.82
349,114,31,1,38.75
350,115,48,1,137.4
351,115,60,1,114.59
352,115,17,3,143.8
353,116,62,3,28.2
354,116,53,1,43.41
355,116,10,4,108.82
356,116,17,4,143.8
357,117,45,1,38.21
358,117,17,2,143.8
359,117,24,3,16.43
360,117,56,2,67.12
361,117,8,2,120.17
362,118,29,1,38.05
363,118,45,3,38.21
364,118,37,2,98.97
365,119,36,2,106.76
366,119,17,2,143.8
367,119,39,3,110.72
368,119,12,1,70.14
369,119,22,1,71.62
370,120,6,3,297.29
371,121,54,4,113.02
372,121,4,3,55.74
373,122,62,3,28.2
374,122,32,4,60.12
375,122,52,1,98.21
376,123,21,4,122.03
377,124,62,2,28.2
378,124,60,3,114.59
379,124,27,3,88.72
380,124,44,3,116.41
381,125,17,2,143.8
382,125,48,4,137.4
383,125,14,1,115.03
384,125,41,3,148.48
385,126,32,3,60.12
386,126,19,4,19.02
387,126,13,4,122.37
388,126,7,2,19.75
389,127,42,2,104.78
390,127,41,2,148.48
391,128,60,1,114.59
392,128,64,4,60.79
393,128,40,4,72.03
394,128,3,2,115.49
395,129,46,1,121.73
396,129,7,3,19.75
397,130,61,4,20.9
398,130,37,2,98.97
399,130,2,3,372.07
400,130,14,3,115.03
401,131,47,2,43.82
402,131,6,3,297.29
403,131,52,3,98.21
404,131,7,1,19.75
405,132,58,1,149.61
406,132,36,4,106.76
407,132,16,3,45.29
408,132,17,3,143.8
409,133,47,1,43.82
410,133,19,1,19.02
411,133,26,2,133.39
412,133,52,3,98.21
413,133,6,4,297.29
414,134,59,2,78.88
415,134,20,4,54.87
416,134,18,3,19.82
417,134,42,3,104.78
418,134,41,4,148.48
419,135,39,1,110.72
420,135,61,4,20.9
421,135,3,3,115.49
422,135,48,1,137.4
423,135,43,4,104.27
424,136,30,2,147.86
425,136,7,4,19.75
426,136,62,2,28.2
427,137,5,2,446.63
428,137,15,1,106.23
429,138,41,2,148.48
430,138,54,4,113.02
431,138,20,4,54.87
432,138,53,1,43.41
433,139,27,4,88.72
434,139,42,4,104.78
435,140,23,3,146.1
436,140,59,3,78.88
437,140,44,4,116.41
438,141,32,3,60.12
439,141,36,2,106.76
440,142,37,3,98.97
441,142,27,4,88.72
442,142,63,3,66.21
443,143,36,3,106.76
444,143,37,2,98.97
445,143,16,3,45.29
446,143,49,1,132.07
447,143,51,3,62.37
448,144,45,4,38.21
449,145,62,3,28.2
450,145,28,3,15.09
451,145,26,2,133.39
452,146,31,2,38.75
453,147,29,2,38.05
454,148,13,4,122.37
455,149,61,1,20.9
456,149,13,2,122.37
457,149,18,4,19.82
458,150,62,3,28.2
459,150,26,1,133.39
460,150,37,1,98.97
461,150,42,2,104.78
462,151,5,2,446.63
463,151,23,3,146.1
464,151,54,1,113.02
465,151,51,1,62.37
466,151,64,3,60.79
467,152,14,2,115.03
468,152,43,4,104.27
469,152,37,3,98.97
470,152,59,2,78.88
471,152,64,1,60.79
472,153,21,2,122.03
473,153,59,1,78.88
474,153,33,3,97.17
475,154,25,4,125.26
476,154,23,3,146.1
477,154,52,1,98.21
478,155,13,3,122.37
479,155,24,2,16.43
480,155,18,1,19.82
481,155,62,3,28.2
482,156,31,3,38.75
483,156,58,1,149.61
484,156,35,3,35.38
485,156,43,3,104.27
486,157,8,4,120.17
487,157,16,3,45.29
488,158,52,1,98.21
489,158,40,3,72.03
490,159,29,2,38.05
491,159,18,4,19.82
492,159,62,3,28.2
493,160,61,4,20.9
494,160,28,3,15.09
495,160,32,1,60.12
496,160,11,1,84.02
497,161,26,2,133.39
498,162,42,1,104.78
499,162,57,2,62.91
500,163,63,2,66.21
501,163,12,4,70.14
502,163,58,4,149.61
503,163,8,1,120.17
504,163,59,4,78.88
505,164,3,1,115.49
506,164,51,2,62.37
507,164,33,1,97.17
508,165,55,3,43.1
509,166,8,1,120.17
510,167,5,2,446.63
511,167,37,4,98.97
512,167,53,3,43.41
513,167,24,4,16.43
514,168,49,1,132.07
515,168,11,2,84.02
516,168,18,4,19.82
517,168,45,2,38.21
518,169,1,3,321.52
519,169,3,4,115.49
520,170,55,3,43.1
521,170,49,2,132.07
522,170,30,3,147.86
523,170,32,2,60.12
524,170,59,1,78.88
525,171,54,1,113.02
526,172,27,1,88.72
527,172,9,1,8.85
528,173,7,4,19.75
529,173,32,2,60.12
530,173,6,2,297.29
531,173,52,1,98.21
532,174,38,3,97.07
533,174,30,3,147.86
534,175,39,2,110.72
535,175,19,4,19.02
536,176,36,4,106.76
537,176,8,4,120.17
538,176,23,1,146.1
539,177,49,4,132.07
540,177,41,2,148.48
541,177,54,3,113.02
542,178,24,3,16.43
543,178,61,2,20.9
544,178,31,4,38.75
545,178,29,1,38.05
546,179,53,3,43.41
547,179,54,2,113.02
548,179,18,3,19.82
549,179,50,1,35.83
550,179,32,4,60.12
551,180,12,3,70.14
552,180,25,4,125.26
553,180,7,1,19.75
554,181,25,2,125.26
555,182,27,2,88.72
556,182,43,2,104.27
557,182,39,1,110.72
558,182,2,4,372.07
559,183,27,2,88.72
560,183,51,3,62.37
561,184,49,3,132.07
562,184,60,3,114.59
563,184,46,3,121.73
564,185,64,2,60.79
565,185,60,3,114.59
566,185,13,3,122.37
567,185,61,4,20.9
568,185,41,1,148.48
569,186,29,3,38.05
570,186,19,2,19.02
571,186,3,2,115.49
572,186,34,3,28.58
573,186,54,2,113.02
574,187,32,4,60.12
575,187,64,4,60.79
576,187,44,4,116.41
577,187,33,2,97.17
578,188,22,2,71.62
579,188,18,1,19.82
580,188,63,1,66.21
581,189,7,1,19.75
582,190,18,1,19.82
583,190,30,2,147.86
584,190,9,4,8.85
585,190,20,3,54.87
586,191,62,4,28.2
587,192,1,4,321.52
588,193,3,3,115.49
589,194,37,1,98.97
590,194,3,2,115.49
591,194,56,2,67.12
592,194,23,2,146.1
593,194,14,3,115.03
594,195,35,3,35.38
595,195,51,4,62.37
596,195,11,4,84.02
597,196,32,1,60.12
598,196,29,4,38.05
599,196,39,4,110.72
600,196,11,4,84.02
601,196,5,4,446.63
602,197,2,2,372.07
603,198,64,4,60.79
604,199,13,2,122.37
605,199,6,4,297.29
606,199,30,3,147.86
607,200,10,3,108.82
